bank_id,date,accounts,deposited,withdrawn,interest_collected,interest_paid
11111111-1111-1111-1111-111111111111,2025-12-07,3,100000,20000,0,0
11111111-1111-1111-1111-111111111111,2025-12-08,3,80000,1000,0,0
11111111-1111-1111-1111-111111111111,2025-12-09,1,90000,10000,0,0
11111111-1111-1111-1111-111111111111,2025-12-10,0,10000,90000,0,0
11111111-1111-1111-1111-111111111111,2025-12-11,6,55000,13000,0,0
11111111-1111-1111-1111-111111111111,2025-12-12,1,10000,1000,0,0
22222222-2222-2222-2222-222222222222,2025-12-07,1,10000,2000,0,0
22222222-2222-2222-2222-222222222222,2025-12-08,2,50000,1000,0,0
22222222-2222-2222-2222-222222222222,2025-12-09,7,60000,2000,0,0
22222222-2222-2222-2222-222222222222,2025-12-10,2,11000,7000,0,0
22222222-2222-2222-2222-222222222222,2025-12-11,3,60000,9000,0,0
22222222-2222-2222-2222-222222222222,2025-12-12,1,60000,11000,0,0
33333333-3333-3333-3333-333333333333,2025-12-07,5,40000,2000,0,0
33333333-3333-3333-3333-333333333333,2025-12-08,0,7000,10000,0,0
33333333-3333-3333-3333-333333333333,2025-12-09,0,50000,5000,0,0
33333333-3333-3333-3333-333333333333,2025-12-10,1,60000,7000,0,0
33333333-3333-3333-3333-333333333333,2025-12-11,7,30000,10000,0,0
33333333-3333-3333-3333-333333333333,2025-12-12,1,10000,1100,0,0
44444444-4444-4444-4444-444444444444,2025-12-07,3,0,1000,0,0
44444444-4444-4444-4444-444444444444,2025-12-08,0,10000,1000,0,0
44444444-4444-4444-4444-444444444444,2025-12-09,1,0,2000,0,0
44444444-4444-4444-4444-444444444444,2025-12-10,0,0,0,0,0
44444444-4444-4444-4444-444444444444,2025-12-11,2,0,3000,0,0
44444444-4444-4444-4444-444444444444,2025-12-12,1,1000,0,0,0
